,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Temperature_Y_Slide,Label
52,,-9.587375000000002,78.33344444444447,174.81625,0.5555555555555556,951.4444444444445,0.5,0.5,,0.1,0.5,0.33875000000000005,6.5,0.75,92.22222222222223,-278.66066666666666,18.444444444444443,2019-12-09 11:52:45.234,-20.978,23.0,455.33,0.05,,,,,,-
53,3.5,-6.391600000000001,-13.055545454545484,186.7441176470588,0.42857142857142855,951.5,1.75,0.5,,0.04,0.6666666666666666,0.5525,4.0,0.8333333333333334,194.33333333333334,-280.12687500000004,21.818181818181817,2019-12-09 11:52:48.631,-149.5525,3073.5,469.245,0.05,,,,,24.995,-
54,3.5,-8.522166666666669,475.40919999999994,184.0536842105263,0.5454545454545454,951.5,0.3333333333333333,0.5,,0.06000000000000001,0.3333333333333333,0.528888888888889,17.833333333333332,2.0,-215.9090909090909,-280.27375,18.53846153846154,2019-12-09 11:52:52.039,-572.496,-8764.0,382.8875,0.05,1504.0,-328.09999999999997,80.1485,,,-
55,,-10.151470588235295,212.78890909090907,169.10176470588235,0.45454545454545453,951.5,1.75,1.0,,0.05,0.5,0.4357142857142858,0.75,0.5,-245.0909090909091,-278.02866666666665,15.583333333333334,2019-12-09 11:52:55.838,0.0,0.0,365.33,0.06666666666666667,,,,,,-
56,,-15.065857142857144,-191.2743333333334,190.76999999999998,0.5,951.5,0.5,1.0,,0.03333333333333333,0.5,0.5825,5.5,0.7142857142857143,344.9166666666667,-280.05875000000003,21.6,2019-12-09 11:52:59.214,-242.9385,939.0,380.15999999999997,0.03333333333333333,,,,,,-
57,3.5,-4.511764705882351,228.4725,168.3694444444444,0.5,951.5,1.1666666666666667,0.0,,0.06000000000000001,,0.581111111111111,9.2,0.8571428571428571,-109.36363636363636,-275.4494117647059,20.5,2019-12-09 11:53:02.673,216.096,4738.0,394.0,0.10000000000000002,,,,,24.995,-
58,,6.666666666509021e-05,477.0878000000001,176.140625,0.5,951.6,1.6,0.8,,0.05,0.5,0.48888888888888893,0.5,0.5,-272.72727272727275,-280.09687500000007,16.0,2019-12-09 11:53:06.226,0.0,0.0,410.33,0.05,,,,,24.995,-
59,,-22.77,112.94100000000005,193.51647058823528,0.5454545454545454,951.5,1.0,1.2,,0.05,0.5,0.43125,3.0,0.7142857142857143,-7.0,-280.011875,17.5,2019-12-09 11:53:09.624,-11.504,7.0,425.33,0.06666666666666667,,,,72.46,,-
60,3.5,-10.785875000000004,-18.83729999999996,172.8335294117647,0.5,951.4,1.3333333333333333,0.5,,0.03333333333333333,0.5,0.49714285714285716,4.666666666666667,0.6666666666666666,301.3333333333333,-280.26625000000007,21.636363636363637,2019-12-09 11:53:13.021,-182.7115,2775.0,439.44,0.03333333333333333,,,,,24.995,-
61,3.5,-11.984312500000003,474.66310000000004,180.94941176470587,0.5,951.5,1.3333333333333333,0.6666666666666666,,0.06666666666666667,0.5,0.4588888888888888,15.0,0.7777777777777778,-311.6,-278.87142857142857,20.666666666666668,2019-12-09 11:53:16.467,279.70633333333336,3305.0,452.1133333333333,0.05,,,,,,-
62,,-10.226533333333334,246.93669999999992,196.2658823529412,0.42857142857142855,951.5,0.3333333333333333,0.3333333333333333,26.285,0.03333333333333333,,0.16428571428571428,1.3333333333333333,0.8333333333333334,-246.5,-278.03333333333336,15.555555555555555,2019-12-09 11:53:20.047,0.0,0.0,470.33,0.05,,,,,,-
63,4.0,-12.407235294117648,-330.1192222222223,158.22,0.5,951.5,1.3333333333333333,0.5,26.290000000000003,0.06666666666666667,0.5,0.42625,15.6,2.1666666666666665,-2325.0,-283.3553333333333,21.88888888888889,2019-12-09 11:53:23.468,1578.5373333333334,-11983.0,376.07,0.05,1497.6666666666667,-310.90000000000003,8.220333333333334,,24.995,-
64,3.5,-12.110473684210529,141.74626666666668,174.4588888888889,0.5,951.5,0.5,1.0,26.285,0.05,,0.5033333333333334,9.4,0.9,129.25,-275.4511764705882,21.833333333333332,2019-12-09 11:53:27.128,223.314,4873.666666666667,364.32,0.05,,,,,24.995,-
65,,-0.0001333333333389438,366.644,179.11764705882354,0.5,951.5,1.4,1.0,26.285,0.05,0.5,0.4414285714285714,0.5,0.5,-59.333333333333336,-280.24187500000005,16.2,2019-12-09 11:53:30.624,0.0,0.0,380.33,0.05,,,,,,-
66,,-9.587375,130.32262500000002,180.29437500000003,0.5,951.5,1.5,1.0,,0.03333333333333333,0.5,0.32125,3.0,0.6666666666666666,-64.4,-278.912,13.4,2019-12-09 11:53:34.142,-12.181,7.0,395.33,0.05,,,,,24.995,-
67,3.5,-11.98425,-94.58614285714286,179.46444444444444,0.5714285714285714,951.5,1.5,0.5,,0.1,0.5,0.5642857142857143,4.666666666666667,0.6666666666666666,120.83333333333333,-280.11500000000007,23.88888888888889,2019-12-09 11:53:37.524,-182.7115,2775.0,409.44,0.05000000000000001,,,,,24.995,-
68,3.5,-7.895529411764706,450.5019090909091,185.93777777777774,0.5,951.5454545454545,1.0,0.8,,0.05,0.5,0.47777777777777786,9.0,0.875,-120.72727272727273,-280.15875,19.333333333333332,2019-12-09 11:53:40.858,262.56333333333333,3515.3333333333335,422.34,0.05,,,,,25.01,-
69,,-12.407235294117648,240.5954545454545,182.35823529411766,0.45454545454545453,951.3,1.75,1.0,,0.03333333333333333,0.5,0.4142857142857142,1.0,0.7142857142857143,-73.83333333333333,-278.04466666666667,15.375,2019-12-09 11:53:44.663,-150.906,533.0,447.76,0.05,,,,,24.99,-
70,,-15.5794375,-99.96830000000003,182.85,0.5,951.5,0.3333333333333333,0.6,,0.06666666666666667,0.5,0.44625,13.5,0.6666666666666666,203.2,-280.1775,20.272727272727273,2019-12-09 11:53:47.982,0.0,0.0,455.33,0.05,,,,,25.0,-
71,3.5,-23.9684375,170.7267692307692,175.74666666666664,0.5,951.5,1.3333333333333333,1.0,,0.05,0.75,0.52,11.75,1.8571428571428572,-84.54545454545455,-275.4535294117647,19.714285714285715,2019-12-09 11:53:51.342,229.1786666666667,680.6666666666666,467.8866666666667,0.05,810.0,-307.41,191.123,72.45,24.992,-
72,3.5,-11.984187499999997,575.481,152.0764705882353,0.5,951.5,1.3333333333333333,0.7142857142857143,26.314999999999998,0.05,0.5,0.645,4.166666666666667,1.0,-241.3,-280.079375,18.11111111111111,2019-12-09 11:53:55.003,-1218.0765,-9810.666666666666,359.21999999999997,0.05,1846.5,-294.35,-1.0275,,24.995,-
73,,-23.9685625,152.315,186.87705882352938,0.5,951.5555555555555,1.25,0.8,,0.05,,0.32,1.5,0.7142857142857143,2.5833333333333335,-280.01125,17.09090909090909,2019-12-09 11:53:58.637,-2.03,0.0,365.33,0.05,,,,,25.01,-
74,3.5,-2.3969375,-71.72072727272726,187.36882352941177,0.5714285714285714,951.5,0.8333333333333334,0.5,26.317999999999994,0.03333333333333333,0.5,0.53875,2.3,0.7142857142857143,136.63636363636363,-280.110625,21.363636363636363,2019-12-09 11:54:01.823,-231.4345,2096.0,379.765,0.06666666666666667,,,,,24.99285714285714,-
75,3.5,-10.785875,450.2306,178.39111111111112,0.5,951.4444444444445,1.1666666666666667,0.8,26.314999999999998,0.05,,0.5499999999999999,6.0,0.7777777777777778,-159.88888888888889,-275.45058823529416,19.46153846153846,2019-12-09 11:54:05.235,244.96900000000002,3936.0,392.83666666666664,0.03333333333333333,,,,,24.995,-
76,,-2.2559411764705875,270.06370000000004,191.34705882352938,0.6666666666666666,951.5,1.75,1.0,,0.06000000000000001,,0.5271428571428572,1.0,0.5,-300.0,-278.194,14.818181818181818,2019-12-09 11:54:08.935,0.0,0.0,410.33,0.05,,,,,25.0,-
77,,-6.848214285714284,-100.34140000000006,170.66411764705882,0.5714285714285714,951.5555555555555,0.5,0.5,26.314999999999998,0.05000000000000001,,0.5133333333333333,3.8333333333333335,0.7142857142857143,132.63636363636363,-280.1775,18.923076923076923,2019-12-09 11:54:12.227,-76.468,242.5,425.31,0.05,,,,,24.995,-
78,3.5,-3.5952500000000023,217.282,184.73444444444445,0.45454545454545453,951.3333333333334,1.4,0.8333333333333334,,0.03333333333333333,,0.4566666666666666,11.25,0.75,129.25,-275.45,21.09090909090909,2019-12-09 11:54:15.626,253.99133333333336,5030.666666666667,439.9833333333333,0.08,,,,,24.995,-
79,,-5.639647058823531,440.3457,172.9217647058823,0.5714285714285714,951.5555555555555,1.3333333333333333,1.0,,0.06000000000000001,0.5,0.3728571428571429,0.0,0.7142857142857143,-262.7,-280.248125,17.846153846153847,2019-12-09 11:54:19.230,0.0,57.5,455.335,0.05,,,,,24.992,-
80,,-10.151411764705877,378.197,171.32125,0.45454545454545453,951.4444444444445,1.3333333333333333,0.0,,0.05,,0.6342857142857143,1.6666666666666667,0.8,-58.72727272727273,-284.54499999999996,16.88888888888889,2019-12-09 11:54:22.626,-1.3535,0.0,470.33,0.1,,,,,24.995,-
