;      Date;    Time;                         Program; Workpiece no.;     Testpoint;Plane;     Probe no.;         Cycle;        S_MVAR;               Measuring variant;Results:    ;      Setpoint;      Measured;    Difference;Unit
;14.11.2019;15:55:31;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,023;0,009;mm
29;14.11.2019;15:55:35;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,997;-0,003;mm
;14.11.2019;15:55:35;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;59,998;-0,002;mm
;14.11.2019;15:55:35;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,014;0;mm
30;14.11.2019;15:55:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,998;-0,002;mm
;14.11.2019;15:55:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;60;0;mm
;14.11.2019;15:55:40;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,015;0,001;mm
31;14.11.2019;15:55:45;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,996;-0,004;mm
;14.11.2019;15:55:45;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;60,002;0,002;mm
;14.11.2019;15:55:45;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
32;14.11.2019;15:55:49;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,996;-0,004;mm
;14.11.2019;15:55:49;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;60,002;0,002;mm
;14.11.2019;15:55:49;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
33;14.11.2019;15:55:54;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,994;-0,006;mm
;14.11.2019;15:55:54;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;60,001;0,001;mm
;14.11.2019;15:55:54;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
34;14.11.2019;15:55:59;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,996;-0,004;mm
;14.11.2019;15:55:59;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;60,003;0,003;mm
;14.11.2019;15:55:59;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
35;14.11.2019;15:56:03;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,993;-0,007;mm
;14.11.2019;15:56:03;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;60,002;0,002;mm
;14.11.2019;15:56:03;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
36;14.11.2019;15:56:08;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,993;-0,007;mm
;14.11.2019;15:56:08;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;60;59,999;-0,001;mm
;14.11.2019;15:56:08;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,016;0,002;mm
37;14.11.2019;15:56:16;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,997;-0,003;mm
;14.11.2019;15:56:16;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,001;0,001;mm
;14.11.2019;15:56:16;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,018;0,004;mm
38;14.11.2019;15:56:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;30;29,994;-0,006;mm
;14.11.2019;15:56:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75;0;mm
;14.11.2019;15:56:20;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
39;14.11.2019;15:56:25;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;45;44,994;-0,006;mm
;14.11.2019;15:56:25;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,001;0;mm
;14.11.2019;15:56:25;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,02;0,006;mm
40;14.11.2019;15:56:30;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;60;59,995;-0,005;mm
;14.11.2019;15:56:30;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,001;0,001;mm
;14.11.2019;15:56:30;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,017;0,003;mm
41;14.11.2019;15:56:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;75;74,995;-0,005;mm
;14.11.2019;15:56:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,002;0,002;mm
;14.11.2019;15:56:34;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
42;14.11.2019;15:56:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;90;89,994;-0,006;mm
;14.11.2019;15:56:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,002;0,002;mm
;14.11.2019;15:56:39;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,019;0,005;mm
43;14.11.2019;15:56:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;105;104,997;-0,003;mm
;14.11.2019;15:56:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,004;0,004;mm
;14.11.2019;15:56:44;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,021;0,007;mm
44;14.11.2019;15:56:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;120;119,997;-0,003;mm
;14.11.2019;15:56:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,003;0,003;mm
;14.11.2019;15:56:48;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,016;0,002;mm
45;14.11.2019;15:56:53;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;135;134,996;-0,004;mm
;14.11.2019;15:56:53;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;75;75,002;0,002;mm
;14.11.2019;15:56:53;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Diameter    ;12,014;12,017;0,003;mm
46;14.11.2019;15:57:01;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;X           ;15;14,996;-0,004;mm
;14.11.2019;15:57:01;                TESTPROGRAMM.MPF;              ;1;  G17;1;977;1;                          1 Hole;Y           ;90;90;0;mm
