,Bezeichnung Bohrung,Klassifizierung nach Grenzlehrdorn,Klassifizierung nach Messchraube,Klassifizierung nach Messtaster,Messwert Innenmessschraube,Messwert Messtaster,Unnamed: 0,Unnamed: 6
522,,i.O.,i.O.,i.O.,12.011,12.015999999999998,1738.0,
523,,i.O.,i.O.,i.O.,12.01,12.015999999999998,1739.0,
524,,i.O.,i.O.,n.i.O.,12.012,12.019,1740.0,
525,,i.O.,i.O.,n.i.O.,12.011,12.022,1741.0,
526,,i.O.,i.O.,i.O.,12.009,12.014000000000001,1742.0,
527,,i.O.,i.O.,i.O.,12.01,12.017000000000001,1743.0,
528,,i.O.,i.O.,i.O.,12.01,12.015999999999998,1744.0,
529,,i.O.,i.O.,i.O.,12.01,12.015999999999998,1745.0,
530,,i.O.,i.O.,i.O.,12.012,12.017000000000001,1746.0,
531,,i.O.,i.O.,i.O.,12.01,12.013,1747.0,
532,,i.O.,i.O.,i.O.,12.01,12.015999999999998,1748.0,
533,,i.O.,i.O.,i.O.,12.011,12.017999999999999,1749.0,
534,,i.O.,i.O.,i.O.,12.01,12.013,1750.0,
535,,i.O.,i.O.,i.O.,12.011,12.015,1751.0,
536,,i.O.,i.O.,i.O.,12.008,12.017000000000001,1752.0,
537,,i.O.,i.O.,i.O.,12.009,12.01,1753.0,
538,,i.O.,i.O.,i.O.,12.01,12.015,1754.0,
539,,i.O.,i.O.,i.O.,12.011,12.017000000000001,1755.0,
540,,i.O.,i.O.,n.i.O.,12.01,12.02,1756.0,
541,,i.O.,i.O.,n.i.O.,12.011,12.02,1757.0,
542,,i.O.,i.O.,n.i.O.,12.012,12.020999999999999,1758.0,
543,,i.O.,i.O.,i.O.,12.01,12.014000000000001,1759.0,
544,,i.O.,i.O.,i.O.,12.01,12.014000000000001,1760.0,
545,,i.O.,i.O.,i.O.,12.01,12.017000000000001,1761.0,
546,,i.O.,i.O.,n.i.O.,12.012,12.019,1762.0,
547,,i.O.,i.O.,i.O.,12.01,12.013,1763.0,
548,,i.O.,i.O.,i.O.,12.009,12.017000000000001,1764.0,
549,,i.O.,i.O.,i.O.,12.011,12.017999999999999,1765.0,
550,,i.O.,i.O.,i.O.,12.009,12.012,1766.0,
551,,i.O.,i.O.,n.i.O.,12.01,12.019,1767.0,
552,,i.O.,i.O.,i.O.,12.011,12.015999999999998,1768.0,
553,,i.O.,i.O.,i.O.,12.012,12.015,1769.0,
554,,i.O.,i.O.,i.O.,12.012,12.014000000000001,1770.0,
555,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,1771.0,
556,,i.O.,i.O.,i.O.,12.01,12.015999999999998,1772.0,
557,,i.O.,i.O.,i.O.,12.009,12.013,1773.0,
558,,i.O.,i.O.,i.O.,12.011,12.013,1774.0,
559,,i.O.,i.O.,i.O.,12.013,12.012,1775.0,
560,,i.O.,i.O.,i.O.,12.01,12.013,1776.0,
561,,i.O.,i.O.,i.O.,12.011,12.013,1777.0,
562,,i.O.,i.O.,i.O.,12.013,12.015999999999998,1778.0,
563,,i.O.,i.O.,i.O.,12.011,12.012,1779.0,
564,,i.O.,i.O.,i.O.,12.012,12.017000000000001,1780.0,
565,,i.O.,i.O.,i.O.,12.011,12.014000000000001,1781.0,
566,,i.O.,i.O.,n.i.O.,12.015999999999998,12.025,1782.0,
567,,i.O.,i.O.,n.i.O.,12.015999999999998,12.023,1783.0,
568,,i.O.,n.i.O.,n.i.O.,12.020999999999999,12.024000000000001,1784.0,
569,,i.O.,i.O.,n.i.O.,12.015,12.023,1785.0,
570,,i.O.,i.O.,n.i.O.,12.014000000000001,12.023,1786.0,
571,,i.O.,i.O.,n.i.O.,12.014000000000001,12.032,1787.0,
572,,i.O.,i.O.,n.i.O.,12.015999999999998,12.023,1788.0,
573,,i.O.,i.O.,n.i.O.,12.013,12.020999999999999,1789.0,
574,,i.O.,i.O.,n.i.O.,12.015,12.02,1790.0,
575,,i.O.,i.O.,n.i.O.,12.013,12.02,1791.0,
576,,i.O.,i.O.,n.i.O.,12.017999999999999,12.023,1792.0,
577,,i.O.,i.O.,n.i.O.,12.014000000000001,12.02,1793.0,
578,,i.O.,i.O.,i.O.,12.014000000000001,12.017999999999999,1794.0,
579,,i.O.,i.O.,n.i.O.,12.015999999999998,12.022,1795.0,
580,,i.O.,i.O.,n.i.O.,12.015,12.02,1796.0,
581,,i.O.,i.O.,n.i.O.,12.015999999999998,12.03,1797.0,
582,,i.O.,i.O.,n.i.O.,12.017000000000001,12.023,1798.0,
583,,i.O.,i.O.,n.i.O.,12.015999999999998,12.03,1799.0,
584,,i.O.,n.i.O.,n.i.O.,12.019,12.032,1800.0,
585,,i.O.,i.O.,n.i.O.,12.017000000000001,12.067,1801.0,
586,,i.O.,i.O.,n.i.O.,12.015999999999998,12.049000000000001,1802.0,
587,,i.O.,i.O.,n.i.O.,12.015,12.024000000000001,1803.0,
588,,i.O.,i.O.,n.i.O.,12.013,12.032,1804.0,
589,,i.O.,i.O.,i.O.,12.012,12.017999999999999,1805.0,
590,,i.O.,i.O.,n.i.O.,12.014000000000001,12.025,1806.0,
591,,i.O.,i.O.,n.i.O.,12.017999999999999,12.024000000000001,1807.0,
592,,i.O.,i.O.,n.i.O.,12.017999999999999,12.022,1808.0,
593,,i.O.,i.O.,n.i.O.,12.015,12.022,1809.0,
594,,i.O.,n.i.O.,n.i.O.,12.02,12.03,1810.0,
595,,i.O.,i.O.,n.i.O.,12.015999999999998,12.020999999999999,1811.0,
596,,i.O.,i.O.,i.O.,12.012,12.017999999999999,1812.0,
597,,i.O.,i.O.,n.i.O.,12.014000000000001,12.038,1813.0,
598,,i.O.,i.O.,n.i.O.,12.015999999999998,12.022,1814.0,
599,,i.O.,i.O.,n.i.O.,12.015999999999998,12.022,1815.0,
600,,i.O.,i.O.,n.i.O.,12.015999999999998,12.042,1816.0,
601,,i.O.,i.O.,n.i.O.,12.017000000000001,12.027000000000001,1817.0,
602,,i.O.,i.O.,n.i.O.,12.013,12.020999999999999,1818.0,
603,,i.O.,i.O.,n.i.O.,12.014000000000001,12.022,1819.0,
604,,i.O.,i.O.,n.i.O.,12.014000000000001,12.02,1820.0,
605,,i.O.,i.O.,n.i.O.,12.014000000000001,12.025,1821.0,
606,,i.O.,i.O.,n.i.O.,12.015,12.019,1822.0,
607,,i.O.,i.O.,n.i.O.,12.014000000000001,12.020999999999999,1823.0,
608,,i.O.,i.O.,n.i.O.,12.012,12.036,1824.0,
609,,i.O.,i.O.,n.i.O.,12.014000000000001,12.023,1825.0,
610,,i.O.,i.O.,n.i.O.,12.015,12.045,1826.0,
611,,i.O.,i.O.,n.i.O.,12.015,12.020999999999999,1827.0,
612,,i.O.,i.O.,n.i.O.,12.013,12.020999999999999,1828.0,
613,,i.O.,i.O.,n.i.O.,12.013,12.02,1829.0,
614,,i.O.,i.O.,n.i.O.,12.015,12.022,1830.0,
