,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
34,34,4.0,-6.90292,83.912,-157.70288888888888,173.09615384615387,0.5,635.4285714285714,1.2,1.2,0.05,0.4545454545454545,0.2564285714285714,2073.5,455.335,14.0,0.8333333333333334,231.125,-288.0273076923077,14.666666666666664,2019-12-09 08:22:39.646,,,28.035,0.1,,,,,i.O.,n.i.O.,i.O.,15,35
35,35,,-3.652333333333332,0.0,300.27822222222215,178.3853846153846,0.5,635.5,1.0,0.6,0.1,0.5,0.4146153846153845,-230.5,470.33,0.5,0.8333333333333334,71.125,-288.4569230769231,14.2,2019-12-09 08:22:44.902,,,,0.12,,,,,i.O.,n.i.O.,i.O.,15,36
36,36,3.8,5.681518518518512,751.824,626.6672,172.02814814814812,0.5,635.5555555555555,1.2,0.8,0.0,0.5454545454545454,0.2725,-17721.0,374.4733333333333,2.6666666666666665,1.8333333333333333,37.5,-290.4075,16.571428571428573,2019-12-09 08:22:50.143,,,,0.13000000000000006,82.2035,1497.0,-355.7000000000001,,i.O.,n.i.O.,i.O.,15,37
37,37,,-9.203880000000002,-78.4985,717.2273333333333,191.82384615384612,0.5,635.1666666666666,1.0,0.8571428571428571,,0.3333333333333333,0.4330769230769232,242.5,364.615,3.8333333333333335,0.6666666666666666,-126.625,-287.00320000000005,24.2,2019-12-09 08:22:55.441,,,,0.06666666666666668,,,,,i.O.,n.i.O.,i.O.,15,38
38,38,3.5,-7.844181818181817,-228.7275,189.0513636363636,183.2669230769231,0.5,635.4545454545455,1.3333333333333333,1.0,,0.5,0.2630769230769231,2096.0,380.31666666666666,5.0,0.8571428571428571,40.77777777777778,-287.1776000000001,22.58333333333333,2019-12-09 08:23:00.712,,,28.005,0.09,,,,,i.O.,n.i.O.,i.O.,15,39
39,39,3.333333333333333,0.00011538461538243347,304.9703333333334,-300.89977777777784,159.98888888888888,0.5,635.5,1.0,0.8571428571428571,,0.5,0.42461538461538456,5658.0,396.035,5.0,0.7142857142857143,369.7,-286.2904000000001,17.642857142857142,2019-12-09 08:23:06.078,74.31,,28.002,0.1,,,,,i.O.,n.i.O.,i.O.,15,40
40,40,4.0,-11.50488,0.0,-209.2619,196.1068,0.5238095238095238,635.6,1.0,1.2,0.05,0.5,0.4136363636363637,0.0,410.33,0.5,1.0,127.1,-291.5512,15.363636363636365,2019-12-09 08:23:11.263,,23.015,28.005,0.11,,,,,i.O.,n.i.O.,i.O.,15,41
41,41,,-12.202136363636365,111.43133333333333,130.72527272727277,189.0248148148148,0.4761904761904762,635.4117647058823,1.0,0.5,,0.5,0.3864285714285714,2178.0,417.87,7.333333333333332,0.8571428571428571,126.66666666666669,-290.78750000000014,15.230769230769232,2019-12-09 08:23:16.313,,,27.975,0.1142857142857143,,,,,i.O.,n.i.O.,i.O.,15,42
42,42,,3.6875384615384608,0.0,612.161111111111,165.74615384615385,0.5,635.5,1.0,0.6,,0.5454545454545454,0.4746153846153846,0.0,440.32,1.0,0.5,-232.16666666666663,-286.83800000000014,14.733333333333333,2019-12-09 08:23:21.623,,23.02,27.972857142857148,0.125,,,,,i.O.,n.i.O.,i.O.,15,43
43,43,,-5.8999615384615405,-34.512,541.65075,184.87884615384613,0.5263157894736842,635.5,1.0,0.5,,0.8333333333333334,0.4484615384615385,67.5,458.6833333333333,8.0,0.75,-134.0,-286.9068000000001,19.266666666666666,2019-12-09 08:23:26.896,,23.011999999999997,,0.10000000000000002,,,,,i.O.,n.i.O.,i.O.,15,44
44,44,5.0,-3.334695652173913,1799.1443333333334,304.56769999999995,176.98148148148152,0.4782608695652174,635.5,1.0,0.5,,0.5,0.4030769230769231,-7807.0,466.44,21.0,2.6666666666666665,-31.375,-286.7964,22.33333333333333,2019-12-09 08:23:32.184,,23.017142857142854,,0.15,94.53399999999999,1903.0,-351.71,,i.O.,n.i.O.,i.O.,15,45
45,45,3.5,2.2126153846153835,-1581.4695,-205.57333333333332,170.6265384615385,0.5,635.5,1.5,0.75,,0.5,0.33384615384615385,-4859.0,356.86,15.5,1.0,307.42857142857144,-290.5045833333333,20.416666666666668,2019-12-09 08:23:37.438,,23.015,,0.13333333333333336,-23.6335,1305.5,-338.495,,i.O.,n.i.O.,i.O.,15,46
46,46,3.4,2.2126153846153835,418.20633333333336,-192.1033333333333,197.0862962962963,0.5,635.5,1.0,1.1666666666666667,,0.75,0.4114285714285714,5190.666666666667,361.3433333333333,7.5555555555555545,0.8571428571428571,232.33333333333331,-287.3552,15.714285714285715,2019-12-09 08:23:42.752,,23.015,,0.15,,,,,i.O.,n.i.O.,i.O.,15,47
47,47,4.0,-7.503130434782609,10.1505,25.36520000000005,170.2196153846154,0.5,635.375,1.0,0.8,,0.5,0.3515384615384616,921.5,380.335,8.0,0.7142857142857143,294.7,-286.67,14.333333333333336,2019-12-09 08:23:48.033,74.3,,27.936,0.1230769230769231,,,,,i.O.,n.i.O.,i.O.,15,48
