,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_X1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Main_Spindle.Temperature_Spindle,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Energy_Savings.Active_Power_Y1,12430012063.C1_Axis.Actual_Power,12430012063.Maintenance_Package.Tool_Changer_Main,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
35,35,7.5,-16.224846153846148,-111.65700000000001,350.2623,180.48448275862071,0.5,951.5,1.8,0.3333333333333333,0.042857142857142864,,0.5,0.16428571428571426,11.833333333333336,0.75,257.625,-309.48,23.615384615384613,2019-12-16 08:28:33.044,,3343.5,469.03,,,3759.0,-365.35,,,,i.O.,n.i.O.,i.O.,23,36
36,36,6.5,-11.799884615384615,591.444,-152.25818181818184,172.9027586206897,0.5,951.5,1.3333333333333333,0.5,0.06666666666666668,,0.5,0.12000000000000002,9.0,2.0,264.125,-312.7455555555556,20.2,2019-12-16 08:28:38.909,,-11979.0,375.27,,,372.0,-352.975,57.5425,,,i.O.,n.i.O.,i.O.,23,37
37,37,6.5,-7.533035714285713,222.6375,-167.23540000000003,177.73724137931038,0.5,951.470588235294,1.8,1.0,0.15000000000000002,,0.5,0.1576923076923077,7.666666666666668,0.6666666666666666,-286.42857142857144,-309.50964285714275,17.545454545454547,2019-12-16 08:28:44.646,,230.5,357.85,,,,,,,,i.O.,n.i.O.,i.O.,23,38
38,38,,-2.05435714285714,305.19599999999997,276.34291666666667,182.56655172413798,0.5,951.5,1.6,0.5,0.15,,0.3333333333333333,0.10230769230769232,4.2,0.8,296.5555555555556,-308.75407407407414,26.5,2019-12-16 08:28:50.448,,2748.5,373.705,,,,,,,,i.O.,n.i.O.,i.O.,23,39
39,39,6.0,-7.2732068965517245,-139.40200000000002,469.0058666666666,174.98965517241382,0.5333333333333333,951.5,2.2,1.0,0.1,,0.5,0.2192307692307692,1.75,0.8,359.9,-309.5203571428571,24.4,2019-12-16 08:28:56.249,,4464.0,391.27,,74.4,,,,,,i.O.,n.i.O.,i.O.,23,40
40,40,6.5,-12.537384615384614,-108.2735,318.58981818181815,179.82448275862072,0.5,951.5,1.6666666666666667,0.3333333333333333,0.1,0.05,0.6666666666666666,0.20928571428571427,8.0,1.0,158.88888888888889,-309.48107142857134,18.6,2019-12-16 08:29:02.045,,3343.5,409.03,20.79,,,,,,,i.O.,n.i.O.,i.O.,23,41
41,41,7.0,-11.362888888888891,,-192.51766666666668,172.6514285714286,0.4444444444444444,951.5,0.75,1.0,0.042857142857142864,0.1,0.5,0.11363636363636365,2.8,0.5,-70.33333333333333,-312.75703703703704,13.5,2019-12-16 08:29:07.855,,533.0,425.26,20.79,,,,,,,i.O.,n.i.O.,i.O.,23,42
42,42,,2.3010399999999978,228.051,-148.98682352941177,186.7537931034483,0.5333333333333333,951.5,2.0,0.75,0.08571428571428573,0.0,0.5,0.13266666666666665,8.0,1.0,0.3333333333333333,-309.51249999999993,17.22222222222222,2019-12-16 08:29:13.454,,230.5,432.85,20.79,,,,,,,i.O.,n.i.O.,i.O.,23,43
43,43,,-15.3398,309.256,235.53321428571425,179.1762068965517,0.5,951.5,2.0,1.0,0.08,0.05,0.5,0.10692307692307693,19.0,1.0,296.3333333333333,-308.7551851851852,26.5,2019-12-16 08:29:19.243,26.605,2748.5,448.705,20.79285714285714,,,,,,,i.O.,n.i.O.,i.O.,23,44
44,44,,-15.065964285714287,-148.876,539.1520769230771,184.01068965517243,0.5,951.5333333333333,1.6,0.8,0.07142857142857142,0.06666666666666668,0.5,0.11714285714285715,1.3333333333333333,1.0,211.875,-309.51607142857137,24.4,2019-12-16 08:29:25.058,26.605,4464.0,466.27,20.787142857142857,,,-351.94,,3.5,,i.O.,n.i.O.,i.O.,23,45
45,45,6.333333333333332,-14.38107142857143,1421.5406666666668,292.35158333333334,174.48633333333336,0.4666666666666667,951.5,1.5,0.8,0.06666666666666668,0.0,0.5,0.1285714285714286,13.857142857142858,2.625,156.22222222222226,-309.46142857142866,17.75,2019-12-16 08:29:30.850,26.602857142857147,-12012.666666666664,383.26666666666665,20.796666666666667,,1499.0,-338.68,62.33766666666667,,,i.O.,n.i.O.,i.O.,23,46
46,46,7.0,-14.203555555555555,,-175.1309,170.6589285714286,0.5,951.5,1.0,1.0,0.12500000000000006,,0.5,0.1392307692307692,7.0,0.5,-69.5,-312.7603703703703,13.5,2019-12-16 08:29:36.852,26.605,533.0,365.26,,74.39,,,,3.5,,i.O.,n.i.O.,i.O.,23,47
47,47,,-8.849846153846155,226.6975,-167.1110666666667,186.0968965517241,0.5,951.5,2.0,0.3333333333333333,0.13000000000000006,,0.5,0.17214285714285715,8.0,1.0,0.1111111111111111,-309.50964285714275,17.363636363636363,2019-12-16 08:29:42.450,26.607142857142854,230.5,372.85,,,,,,,,i.O.,n.i.O.,i.O.,23,48
