,Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
35,35,5.5,6.3916458333333335,50.54380000000001,186.23441176470584,0.5135135135135135,317.2857142857143,2.333333333333333,0.6666666666666666,,0.5,0.13142857142857145,0.5,1.6666666666666667,117.86666666666666,-297.66636363636366,13.26086956521739,2019-11-26 12:56:07.472,0.0,0.0,471.68,27.815,,0.15000000000000005,518.0,,,,i.O.,i.O.,i.O.,6,36
36,36,5.5,5.711702127659575,436.73983333333337,191.31338461538445,0.4871794871794872,317.5,0.0,0.5,,,0.1417391304347826,4.333333333333333,0.8,-52.41666666666666,-297.6669841269841,14.636363636363635,2019-11-26 12:56:21.657,1101.6826666666668,-11962.0,383.1,27.812857142857148,72.67,0.15,1990.5,,77.066,-354.4650000000001,i.O.,n.i.O.,i.O.,6,37
37,37,5.5,6.391648148148148,215.10608333333343,175.4619718309859,0.5135135135135135,317.3076923076923,1.5,0.0,,,0.13956521739130434,10.25,0.6666666666666666,-45.05263157894736,-297.6702985074627,16.416666666666668,2019-11-26 12:56:35.831,158.80100000000004,4950.0,367.85666666666674,27.815,,,,,,,i.O.,n.i.O.,i.O.,6,38
38,38,5.6,10.386354166666667,-196.393,176.3024615384615,0.5,317.2105263157895,2.0,0.75,0.05,,0.14782608695652175,6.0,0.7777777777777778,229.9230769230769,-297.4932307692308,15.208333333333336,2019-11-26 12:56:49.911,21.6545,1166.5,381.91,,,0.1375,,,,,i.O.,n.i.O.,i.O.,6,39
39,39,5.5,7.37498076923077,109.87027272727276,184.85784615384617,0.5,317.1764705882353,0.5,0.5,0.06666666666666668,0.5,0.13,0.6666666666666666,0.7,70.42105263157895,-297.4128125,13.235294117647056,2019-11-26 12:57:03.849,0.0,0.0,396.68,27.776,72.66,0.05,,,,,i.O.,n.i.O.,i.O.,6,40
40,40,5.4,8.159553191489362,431.55107692307683,190.5692647058824,0.4883720930232558,317.38461538461536,2.0,1.0,0.04666666666666666,0.5,0.13692307692307693,4.333333333333333,0.625,-38.285714285714285,-296.13484848484853,15.3,2019-11-26 12:57:17.908,-80.75399999999999,2483.333333333333,415.65,27.78,,0.06999999999999999,,,,,i.O.,n.i.O.,i.O.,6,41
41,41,5.5,13.848481481481485,174.6003076923077,166.27151515151522,0.5,317.3125,0.0,0.0,,,0.17208333333333334,2.1818181818181817,1.0,13.952380952380953,-297.4326153846153,16.076923076923073,2019-11-26 12:57:32.110,417.5295,4123.5,428.96,,,0.05,,,,,i.O.,n.i.O.,i.O.,6,42
42,42,5.6,17.780327272727273,-221.7891666666666,180.73442857142854,0.5,317.2142857142857,1.5,0.5,0.05,,0.1555555555555556,4.6,0.7272727272727273,91.16666666666669,-297.6667164179105,14.91304347826087,2019-11-26 12:57:45.953,36.5425,1440.0,442.0,,72.65,0.1,,,,,i.O.,n.i.O.,i.O.,6,43
43,43,5.5,12.131020408163266,127.24000000000004,178.77970588235297,0.5,317.23076923076917,2.0,1.0,,0.5,0.21230769230769234,0.8,0.625,70.0,-297.74397058823524,13.15,2019-11-26 12:58:00.072,0.0,0.0,456.68,,,0.075,,,,,i.O.,n.i.O.,i.O.,6,44
44,44,7.0,3.3640350877192984,377.74113333333327,185.23785714285717,0.5142857142857142,317.5,0.5,1.0,,0.5,0.16153846153846152,11.222222222222221,2.0,-161.08333333333334,-297.65661764705885,13.84375,2019-11-26 12:58:13.910,2015.6913333333328,-9026.0,464.2866666666667,27.745,72.64,0.15000000000000002,3857.0,,178.793,-347.77,i.O.,n.i.O.,i.O.,6,45
45,45,5.5,9.000510204081634,198.71599999999998,183.26469696969696,0.5,317.3888888888889,2.0,0.0,,0.5714285714285714,0.2396153846153847,9.75,0.8571428571428571,35.46153846153846,-298.64515625000007,17.1,2019-11-26 12:58:28.735,423.62,4123.5,353.9600000000001,27.74333333333333,,0.15000000000000002,0.0,26.685,0.0,-335.54,i.O.,n.i.O.,i.O.,6,46
46,46,5.6,8.271490196078433,-237.9843,180.55808823529406,0.4888888888888889,317.3,0.3333333333333333,0.75,,0.4,0.2366666666666666,5.5,0.75,130.25,-298.95880597014917,14.956521739130435,2019-11-26 12:58:42.693,4.0605,705.5,366.79,27.745,,0.15000000000000002,,,,,i.O.,i.O.,i.O.,6,47
47,47,5.5,7.670000000000001,287.63700000000006,191.16597014925372,0.5,317.29411764705884,2.0,0.5,0.05714285714285715,0.5,0.25230769230769234,1.0,0.5,103.8,-297.72088235294115,13.08,2019-11-26 12:58:56.542,0.0,0.0,381.68,,72.63,0.06,,,,,i.O.,n.i.O.,i.O.,6,48
48,48,5.333333333333333,10.130113207547174,423.6603846153846,195.23691176470584,0.5,316.95,1.75,0.5,0.05,0.5,0.20038461538461536,5.142857142857143,0.6,-171.69230769230768,-297.6840298507463,15.107142857142858,2019-11-26 12:59:10.507,-52.332,3112.333333333333,400.09,27.712,,0.05833333333333333,,26.685,,,i.O.,n.i.O.,i.O.,6,49
49,49,5.6,6.66954347826087,130.36920000000003,172.56441176470594,0.5,317.23809523809524,0.0,1.0,0.05,0.5555555555555556,0.20233333333333334,15.0,0.7,136.64285714285714,-297.7439705882353,15.481481481481481,2019-11-26 12:59:24.577,0.0,0.0,411.68,27.715,72.62,0.05,,26.685,,,i.O.,n.i.O.,i.O.,6,50
50,50,5.5,6.036518518518517,-68.721,179.50514285714286,0.5,317.1,2.0,1.0,0.05,0.4545454545454545,0.22960000000000005,0.4615384615384616,0.6666666666666666,140.6,-297.5055223880597,14.0,2019-11-26 12:59:38.731,351.212,2463.333333333333,422.69,,,0.05,,26.68636363636364,,,i.O.,n.i.O.,i.O.,6,51
51,51,5.333333333333333,3.5674418604651166,339.9110833333333,177.5656923076923,0.5,317.375,1.5,0.6,0.05,0.5,0.18703703703703706,6.5,0.42857142857142855,-74.63636363636364,-295.89859375,13.555555555555555,2019-11-26 12:59:52.712,-496.705,1763.5,448.74,,,0.05,,26.685,,,i.O.,n.i.O.,i.O.,6,52
52,52,5.5,6.11968085106383,332.1399166666667,179.0694202898551,0.5,317.1904761904762,1.4,1.0,0.05,0.5,0.21931034482758616,1.9166666666666667,0.6666666666666666,-56.764705882352935,-297.4678787878788,15.961538461538463,2019-11-26 13:00:07.045,250.3825,4466.5,460.715,,72.61,0.05,,26.683846153846158,,,i.O.,i.O.,i.O.,6,53
53,53,6.0,3.5509074074074074,-47.09333333333331,176.36700000000005,0.5,317.1666666666667,1.0,0.5,0.05,0.5555555555555556,0.20923076923076925,2.4615384615384617,1.8571428571428568,74.4375,-297.75955882352946,15.461538461538463,2019-11-26 13:00:20.986,82.5585,-2073.5,471.125,,,0.05,1040.0,26.685,6.165,-335.4,i.O.,n.i.O.,i.O.,6,54
54,54,5.333333333333333,8.367254545454548,453.0074444444445,171.9182857142857,0.5142857142857142,317.26666666666665,1.0,0.6,0.05,0.5,0.1682142857142857,2.333333333333333,0.75,3412.222222222222,-299.3971641791045,12.310344827586205,2019-11-26 13:00:35.327,-711.898,-15923.5,368.085,,,0.05,1733.0,26.69,19.5235,-322.5900000000001,i.O.,n.i.O.,i.O.,6,55
55,55,5.5,12.131000000000002,390.2016428571429,179.2797101449275,0.5277777777777778,317.42105263157896,2.333333333333333,1.0,0.05,0.5,0.15517241379310345,6.5,0.6,-150.93333333333334,-296.1751470588235,14.85,2019-11-26 13:00:49.222,-122.25866666666668,2094.0,370.9533333333334,27.685,72.6,0.05,,26.685,,,i.O.,n.i.O.,i.O.,6,56
56,56,5.5,10.491905660377359,219.2318181818182,180.89926470588242,0.5675675675675675,317.39130434782606,1.75,0.5,0.05,0.4545454545454545,0.1766666666666667,17.0,0.7,-86.375,-297.4321212121212,16.391304347826086,2019-11-26 13:01:03.148,407.379,4252.0,384.24,27.680000000000003,,0.05,,,,,i.O.,i.O.,i.O.,6,57
