,Unnamed: 0,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
20,20,-7.190624999999999,272.8806896551723,177.546,0.5185185185185185,951.5,1.1428571428571428,1.0,0.0,0.5,0.33,5.642857142857142,0.75,-73.9,-297.666037735849,21.25,2019-12-11 09:26:03.593,7.0,64.69319999999998,4499.0,374.62,26.185,,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,21
21,21,-8.948133333333336,287.92191666666673,184.20464285714283,0.5416666666666666,951.4761904761904,1.25,0.5,,0.5,0.4257142857142857,7.428571428571429,0.8333333333333334,3369.72,-302.988125,20.6,2019-12-11 09:26:07.107,7.5,279.70633333333336,4109.666666666667,387.7133333333333,26.185,,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,22
22,22,-3.383764705882353,137.7397777777777,176.26372881355934,0.5,951.5,1.75,0.8333333333333334,0.05,0.5,0.4125,9.5,0.7142857142857143,-3116.4482758620693,-300.66520833333345,15.888888888888891,2019-12-11 09:26:10.520,7.5,220.94575,3062.0,404.285,26.185,,,0.05,,,,n.i.O.,n.i.O.,i.O.,20,23
23,23,-20.453133333333334,-59.57888888888888,184.39389830508478,0.5,951.448275862069,1.3333333333333333,1.0,,0.5,0.3425,5.4,0.7142857142857143,-3961.7037037037044,-302.1444680851064,19.0,2019-12-11 09:26:14.146,7.5,-75.34033333333333,594.6666666666666,425.35,,,,0.15000000000000002,,,74.64,i.O.,n.i.O.,i.O.,20,24
24,24,-13.53523529411765,390.2855555555555,190.943,0.5,951.4761904761904,2.0,1.0,,0.5,0.17666666666666667,9.0,0.75,-269.9642857142857,-295.59416666666664,21.166666666666668,2019-12-11 09:26:17.462,7.5,141.43225,4240.0,436.535,26.185,23.535,,0.15000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,25
25,25,-4.79375,82.28735999999994,172.03557377049182,0.5,951.5,1.75,0.5,,0.5,0.29444444444444445,20.33333333333333,0.8333333333333334,-1467.1481481481478,-295.3977083333335,17.0,2019-12-11 09:26:20.901,7.5,188.3958,3043.166666666666,450.0266666666666,,,,,,,,i.O.,n.i.O.,i.O.,20,26
26,26,-9.5873125,-128.5129523809524,179.59400000000008,0.5294117647058824,951.5,2.2,0.5,,0.5,0.4014285714285714,3.888888888888889,0.8,-3964.0,-298.39359999999994,17.0,2019-12-11 09:26:24.415,7.5,-263.24,3004.666666666666,466.0266666666666,26.185,,,0.15000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,27
27,27,-4.261111111111111,315.6291923076924,175.38300000000007,0.4736842105263158,951.5,1.2857142857142858,0.8,,0.5,0.5133333333333333,24.615384615384613,3.0588235294117645,-151.03703703703704,-293.0997619047621,21.727272727272727,2019-12-11 09:26:27.810,7.5,429.0335555555555,-15997.888888888889,401.56,26.185,,53.43224999999999,0.15,1999.888888888889,-374.085,,i.O.,n.i.O.,i.O.,20,28
28,28,-0.00012499999999793232,301.54375,179.4808064516129,0.5,951.5,1.25,1.1666666666666667,,0.5,0.3462500000000001,3.8181818181818175,0.75,-56.0,-295.22869565217394,20.09090909090909,2019-12-11 09:26:31.420,6.5,65.7762,3602.0,359.62,,,,0.15,,,,i.O.,n.i.O.,i.O.,20,29
29,29,-5.992125000000005,382.17209090909085,177.13448275862072,0.5,951.52,1.2857142857142858,0.0,,0.5,0.30625,7.0,0.75,26.392857142857146,-294.12045454545444,15.272727272727273,2019-12-11 09:26:34.882,6.5,83.1,3602.8,374.1725,,,,0.15000000000000002,,,,n.i.O.,n.i.O.,i.O.,20,30
30,30,-12.326642857142858,229.05966666666674,178.82612903225802,0.5,951.5,0.3333333333333333,0.5,,0.5,0.41875,4.2631578947368425,0.75,-449.5,-295.63212765957456,20.25,2019-12-11 09:26:38.320,7.5,99.341,3600.8,390.04,,,,0.16666666666666666,,,,i.O.,n.i.O.,i.O.,20,31
31,31,-6.848142857142856,-68.66251851851851,190.45016129032248,0.52,951.52,2.0,0.8333333333333334,,0.5,0.27875,10.0,1.0,-2754.233333333333,-296.15851063829786,20.75,2019-12-11 09:26:41.773,7.5,81.65616666666669,3601.2,404.682,26.185,,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,32
32,32,-3.5952500000000054,296.24952,171.76387096774192,0.4782608695652174,951.5,1.75,0.0,,0.0,0.25625,7.888888888888888,0.8333333333333334,-337.43333333333334,-294.07895833333345,18.7,2019-12-11 09:26:45.270,7.5,113.41639999999998,3599.4,419.32199999999995,26.17,,,0.15000000000000002,,,,i.O.,n.i.O.,i.O.,20,33
33,33,4.108928571428572,139.71159090909094,182.742,0.5217391304347826,951.5,1.6,0.5,,0.6666666666666666,0.4033333333333333,10.125,1.0,-857.551724137931,-293.7995454545455,16.8,2019-12-11 09:26:48.726,7.5,71.05425,3599.4,433.722,26.2,,,0.14,,,,n.i.O.,n.i.O.,i.O.,20,34
34,34,-15.5795,249.84919230769225,175.2148275862069,0.4782608695652174,951.5,1.75,0.5,,0.0,0.34,16.2,1.0,-137.34615384615384,-293.14391304347834,21.181818181818183,2019-12-11 09:26:52.176,7.5,85.60374999999998,3597.4,448.364,,,,0.16666666666666666,,,,i.O.,n.i.O.,i.O.,20,35
