Date,Time,Program,Workpiece no.,Testpoint,Plane,Probe no.,Cycle,S_MVAR,Measuring variant,Results,Setpoint,Measured,Difference,Unit
2019-11-20,12:18:09,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,90.0,0.0,mm
2019-11-20,12:18:09,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.021,0.012,mm
2019-11-20,12:18:14,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,30.0,29.981,-0.019,mm
2019-11-20,12:18:14,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,90.013,0.013,mm
2019-11-20,12:18:14,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:18:19,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,45.0,44.994,-0.006,mm
2019-11-20,12:18:19,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,90.004,0.004,mm
2019-11-20,12:18:19,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:18:24,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,60.0,60.0,0.0,mm
2019-11-20,12:18:24,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,89.997,-0.003,mm
2019-11-20,12:18:24,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:18:29,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,75.0,75.003,0.003,mm
2019-11-20,12:18:29,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,89.994,-0.006,mm
2019-11-20,12:18:29,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.015,0.006,mm
2019-11-20,12:18:34,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,90.0,89.99,-0.01,mm
2019-11-20,12:18:34,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,89.992,-0.008,mm
2019-11-20,12:18:34,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.015,0.006,mm
2019-11-20,12:18:38,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,105.0,105.005,0.005,mm
2019-11-20,12:18:38,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,90.0,-0.0,mm
2019-11-20,12:18:38,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.017,0.008,mm
2019-11-20,12:18:43,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,120.0,119.994,-0.006,mm
2019-11-20,12:18:43,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,90.011,0.011,mm
2019-11-20,12:18:43,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.015,0.006,mm
2019-11-20,12:18:48,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,135.0,134.999,-0.0,mm
2019-11-20,12:18:48,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,90.0,90.007,0.007,mm
2019-11-20,12:18:48,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.018,0.009,mm
2019-11-20,12:18:56,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,15.0,14.995,-0.005,mm
2019-11-20,12:18:56,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,104.998,-0.002,mm
2019-11-20,12:18:56,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.02,0.011,mm
2019-11-20,12:19:01,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,30.0,30.002,0.002,mm
2019-11-20,12:19:01,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,105.001,0.001,mm
2019-11-20,12:19:01,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.019,0.01,mm
2019-11-20,12:19:06,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,X           ,45.0,44.978,-0.022,mm
2019-11-20,12:19:06,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Y           ,105.0,104.998,-0.002,mm
2019-11-20,12:19:06,                      REIBEN.MPF,              ,1,  G17,1,977,1,                          1 Hole,Diameter    ,12.009,12.017,0.008,mm
