Messungen Bohrung 12H7;;;;;;;;
Bezeichnung:;;;;;;;;
0101;;;> Ebene 1 Bohrung 1;;;;;
0102;;;> Ebene 1 Bohrung 2;;;;;
0201;;;> Ebene 2 Bohrung 1;;;;;
;;;;;;;;
;;;;;;;;
Bezeichnung Bohrung;Ebene;Bohrung;Messwert Innenmessschraube;Messwert Messtaster;Klassifizierung nach Messchraube;Klassifizierung nach Messtaster;Klassifizierung nach Grenzlehrdorn;
0458;4;58;12,014;12,020;i.O.;n.i.O.;i.O.;
0459;4;59;12,012;12,019;i.O.;n.i.O.;i.O.;
0460;4;60;12,012;12,019;i.O.;n.i.O.;i.O.;
0461;4;61;12,013;12,022;i.O.;n.i.O.;i.O.;
0462;4;62;12,014;12,021;i.O.;n.i.O.;i.O.;
0463;4;63;12,014;12,020;i.O.;n.i.O.;i.O.;
0464;4;64;12,014;12,023;i.O.;n.i.O.;i.O.;
0465;4;65;12,014;12,021;i.O.;n.i.O.;i.O.;
0466;4;66;12,013;12,019;i.O.;n.i.O.;i.O.;
0467;4;67;12,013;12,021;i.O.;n.i.O.;i.O.;
0468;4;68;12,014;12,022;i.O.;n.i.O.;i.O.;
0469;4;69;12,014;12,020;i.O.;n.i.O.;i.O.;
0470;4;70;12,013;12,023;i.O.;n.i.O.;i.O.;
0471;4;71;12,013;12,018;i.O.;i.O.;i.O.;
0472;4;72;12,013;12,019;i.O.;n.i.O.;i.O.;
0473;4;73;12,013;12,022;i.O.;n.i.O.;i.O.;
0474;4;74;12,013;12,020;i.O.;n.i.O.;i.O.;
0475;4;75;12,014;12,018;i.O.;i.O.;i.O.;
0476;4;76;12,013;12,020;i.O.;n.i.O.;i.O.;
0477;4;77;12,013;12,019;i.O.;n.i.O.;i.O.;
0478;4;78;12,013;12,019;i.O.;n.i.O.;i.O.;
0479;4;79;12,012;12,016;i.O.;i.O.;i.O.;
0480;4;80;12,012;12,018;i.O.;i.O.;i.O.;
0481;4;81;12,014;12,022;i.O.;n.i.O.;i.O.;
0501;5;1;12,014;12,023;i.O.;n.i.O.;i.O.;
0502;5;2;12,014;12,022;i.O.;n.i.O.;i.O.;
0503;5;3;12,013;12,019;i.O.;n.i.O.;i.O.;
0504;5;4;12,013;12,021;i.O.;n.i.O.;i.O.;
0505;5;5;12,013;12,019;i.O.;n.i.O.;i.O.;
0506;5;6;12,013;12,02;i.O.;n.i.O.;i.O.;
0507;5;7;12,013;12,02;i.O.;n.i.O.;i.O.;
0508;5;8;12,012;12,022;i.O.;n.i.O.;i.O.;
0509;5;9;12,013;12,017;i.O.;i.O.;i.O.;
0510;5;10;12,012;12,019;i.O.;n.i.O.;i.O.;
0511;5;11;12,011;12,017;i.O.;i.O.;i.O.;
0512;5;12;12,013;12,019;i.O.;n.i.O.;i.O.;
0513;5;13;12,012;12,019;i.O.;n.i.O.;i.O.;
0514;5;14;12,013;12,023;i.O.;n.i.O.;i.O.;
0515;5;15;12,011;12,017;i.O.;i.O.;i.O.;
0516;5;16;12,012;12,019;i.O.;n.i.O.;i.O.;
0517;5;17;12,011;12,02;i.O.;n.i.O.;i.O.;
0518;5;18;12,011;12,02;i.O.;n.i.O.;i.O.;
0519;5;19;12,011;12,019;i.O.;n.i.O.;i.O.;
0520;5;20;12,011;12,019;i.O.;n.i.O.;i.O.;
0521;5;21;12,01;12,017;i.O.;i.O.;i.O.;
0522;5;22;12,01;12,023;i.O.;n.i.O.;i.O.;
0523;5;23;12,01;12,018;i.O.;i.O.;i.O.;
0524;5;24;12,012;12,022;i.O.;n.i.O.;i.O.;
0525;5;25;12,011;12,019;i.O.;n.i.O.;i.O.;
0526;5;26;12,011;12,02;i.O.;n.i.O.;i.O.;
0527;5;27;12,013;12,02;i.O.;n.i.O.;i.O.;
0528;5;28;12,011;12,021;i.O.;n.i.O.;i.O.;
0529;5;29;12,011;12,018;i.O.;i.O.;i.O.;
0530;5;30;12,011;12,013;i.O.;i.O.;i.O.;
0531;5;31;12,012;12,021;i.O.;n.i.O.;i.O.;
0532;5;32;12,012;12,021;i.O.;n.i.O.;i.O.;
0533;5;33;12,011;12,017;i.O.;i.O.;i.O.;
0534;5;34;12,011;12,017;i.O.;i.O.;i.O.;
0535;5;35;12,011;12,017;i.O.;i.O.;i.O.;
0536;5;36;12,01;12,02;i.O.;n.i.O.;i.O.;
0537;5;37;12,012;12,019;i.O.;n.i.O.;i.O.;
0538;5;38;12,011;12,018;i.O.;i.O.;i.O.;
0539;5;39;12,011;12,017;i.O.;i.O.;i.O.;
0540;5;40;12,012;12,019;i.O.;n.i.O.;i.O.;
0541;5;41;12,012;12,019;i.O.;n.i.O.;i.O.;
0542;5;42;12,012;12,023;i.O.;n.i.O.;i.O.;
0543;5;43;12,011;12,017;i.O.;i.O.;i.O.;
0544;5;44;12,011;12,015;i.O.;i.O.;i.O.;
0545;5;45;12,012;12,019;i.O.;n.i.O.;i.O.;
0546;5;46;12,013;12,02;i.O.;n.i.O.;i.O.;
0547;5;47;12,013;12,021;i.O.;n.i.O.;i.O.;
0548;5;48;12,012;12,02;i.O.;n.i.O.;i.O.;
0549;5;49;12,012;12,017;i.O.;i.O.;i.O.;
0550;5;50;12,012;12,018;i.O.;i.O.;i.O.;
0551;5;51;12,012;12,018;i.O.;i.O.;i.O.;
0552;5;52;12,012;12,024;i.O.;n.i.O.;i.O.;
0553;5;53;12,01;12,019;i.O.;n.i.O.;i.O.;
0554;5;54;12,011;12,021;i.O.;n.i.O.;i.O.;
0555;5;55;12,012;12,018;i.O.;i.O.;i.O.;
0556;5;56;12,012;12,018;i.O.;i.O.;i.O.;
0557;5;57;12,011;12,018;i.O.;i.O.;i.O.;
0558;5;58;12,013;12,02;i.O.;n.i.O.;i.O.;
0559;5;59;12,012;12,019;i.O.;n.i.O.;i.O.;
0560;5;60;12,011;12,017;i.O.;i.O.;i.O.;
0561;5;61;12,011;12,018;i.O.;i.O.;i.O.;
0562;5;62;12,012;12,02;i.O.;n.i.O.;i.O.;
0563;5;63;12,012;12,02;i.O.;n.i.O.;i.O.;
0564;5;64;12,013;12,023;i.O.;n.i.O.;i.O.;
0565;5;65;12,014;12,02;i.O.;n.i.O.;i.O.;
0566;5;66;12,013;12,022;i.O.;n.i.O.;i.O.;
0567;5;67;12,013;12,02;i.O.;n.i.O.;i.O.;
0568;5;68;12,012;12,021;i.O.;n.i.O.;i.O.;
0569;5;69;12,012;12,02;i.O.;n.i.O.;i.O.;
0570;5;70;12,012;12,02;i.O.;n.i.O.;i.O.;
0571;5;71;12,012;12,025;i.O.;n.i.O.;i.O.;
0572;5;72;12,012;12,022;i.O.;n.i.O.;i.O.;
0573;5;73;12,014;12,018;i.O.;i.O.;i.O.;
0574;5;74;12,014;12,021;i.O.;n.i.O.;i.O.;
0575;5;75;12,012;12,017;i.O.;i.O.;i.O.;
0576;5;76;12,013;12,02;i.O.;n.i.O.;i.O.;
0577;5;77;12,012;12,018;i.O.;i.O.;i.O.;
0578;5;78;12,014;12,019;i.O.;n.i.O.;i.O.;
0579;5;79;12,013;12,019;i.O.;n.i.O.;i.O.;
0580;5;80;12,014;12,022;i.O.;n.i.O.;i.O.;
0581;5;81;12,012;12,021;i.O.;n.i.O.;i.O.;
0601;6;1;12,012;12,021;i.O.;n.i.O.;i.O.;
