Unnamed: 0,12430012063.A1_Axis.Actual_Power,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Messschraube,Messtaster,Grenzlehrdorn,Ebene,Bohrung
34,7.5,,11.437631578947368,121.60330000000002,172.84142857142854,0.5,317.1875,0.0,1.0,,,0.5,0.75,,100.66666666666669,-308.3498550724638,13.714285714285715,2019-11-27 09:25:33.478,36.5425,2096.0,456.115,8.0,0.2466666666666667,26.805,,,,i.O.,i.O.,i.O.,8,35
35,7.5,,8.367236363636364,464.24975,178.0591549295775,0.4864864864864865,317.38461538461536,2.0,0.5,74.41,,0.5,2.833333333333333,24.995,-123.42857142857143,-308.3420289855072,15.090909090909092,2019-11-27 09:25:47.465,-75.7915,-4253.0,464.72333333333336,2.7777777777777777,0.24000000000000005,,,3293.0,-365.5,i.O.,n.i.O.,i.O.,8,36
36,7.0,,9.783102040816333,167.85727272727277,185.74845070422543,0.5,317.3157894736842,1.75,0.0,,,0.5,1.2222222222222223,24.998,108.91666666666669,-308.31130434782614,17.833333333333332,2019-11-27 09:26:01.680,899.1209999999996,-4793.0,355.265,9.666666666666666,0.25,,45.89700000000001,607.5,-353.14,i.O.,i.O.,i.O.,8,37
37,7.0,,5.592708333333333,-142.52325,187.65671428571437,0.5,317.1904761904762,1.2,1.0,74.4,,0.52,0.8,24.99333333333333,133.47058823529414,-308.30550724637686,18.4,2019-11-27 09:26:15.873,391.13800000000003,0.0,366.68,22.0,0.2441176470588235,,,,,i.O.,n.i.O.,i.O.,8,38
38,7.5,,5.788622641509432,297.94675000000007,177.01323943661967,0.5135135135135135,317.5,2.0,0.5,,,0.5,0.8571428571428571,24.996666666666666,57.9375,-306.9410000000001,13.458333333333336,2019-11-27 09:26:29.891,,2585.6666666666665,381.92666666666673,1.5,0.2555555555555556,,,,,i.O.,n.i.O.,i.O.,8,39
39,7.5,,8.609183673469389,372.67709090909096,179.83785714285713,0.4888888888888889,317.1111111111111,1.0,0.75,,,0.5,0.7142857142857143,24.994999999999994,-69.3125,-308.16661764705884,15.88,2019-11-27 09:26:44.092,-263.9165,518.5,396.745,3.875,0.25,,,,,i.O.,i.O.,i.O.,8,40
40,7.2,,8.849923076923076,47.63130769230771,181.1735714285713,0.5277777777777778,317.1666666666667,1.5,0.5,74.39,,0.5,0.7142857142857143,24.995,89.6,-308.2882608695652,16.95,2019-11-27 09:26:58.081,156.32,0.0,411.68,6.0,0.25,,,,,i.O.,n.i.O.,i.O.,8,41
41,7.5,,12.662641509433966,-48.49209090909091,180.2332857142857,0.5263157894736842,317.3,1.0,1.0,,,0.5,0.75,,114.9375,-308.34217391304344,15.538461538461537,2019-11-27 09:27:12.093,224.6675,373.5,426.635,19.0,0.21052631578947367,,,,,i.O.,n.i.O.,i.O.,8,42
42,7.5,,11.939056603773587,454.9102727272728,178.49535211267604,0.575,317.25,2.0,0.6666666666666666,,,0.5,0.8333333333333334,,-2.142857142857143,-308.34942028985506,15.058823529411766,2019-11-27 09:27:26.090,-4.737,2617.6666666666665,440.4966666666666,2.5,0.24615384615384614,,,,,i.O.,n.i.O.,i.O.,8,43
43,7.5,,11.15629090909091,230.8397692307692,171.54114285714286,0.5,317.35714285714283,0.5,1.0,74.38,,0.5,1.0,,-127.35714285714286,-308.1580882352941,17.05,2019-11-27 09:27:40.295,-211.81,0.0,456.68,1.9,0.25882352941176473,,,,,i.O.,n.i.O.,i.O.,8,44
