,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.Y1_Axis.Actual_Power,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.X1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_X1,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,12430012063.C1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,Label
25,6.5,-6.3915555555555565,519.6402307692307,169.789,0.5714285714285714,951.4285714285714,1.5714285714285714,1.0,27.225,0.06666666666666667,,0.5,0.15000000000000002,0.8,12.333333333333334,-304.0331578947368,25.272727272727273,2019-12-16 08:58:04.017,3565.5,449.345,4.5,-262.563,,,,,,,-
26,6.5,-8.073578947368423,728.3142,169.86899999999997,0.45454545454545453,951.5,1.0,0.5,27.224999999999998,0.05,0.05,,0.1322222222222222,0.75,52.84615384615385,-304.0642105263158,17.933333333333334,2019-12-16 08:58:08.012,1166.5,463.065,6.6,-11.504,,,,,,,-
27,6.5,-16.559954545454545,525.6419166666666,188.93499999999997,0.5,951.5,2.2,1.0,27.221999999999998,0.08,0.1,0.5,0.13,1.1111111111111112,71.76923076923077,-304.05894736842106,16.0,2019-12-16 08:58:12.098,-11956.333333333334,379.36,8.428571428571429,1197.4370000000001,,61.65266666666667,1501.0,-373.80333333333334,,,-
28,6.5,-7.456833333333332,144.96763636363636,173.638,0.5454545454545454,951.5555555555555,1.5714285714285714,0.6666666666666666,,0.13333333333333333,0.03333333333333333,,0.13888888888888892,0.75,-23.9,-304.0457894736842,15.538461538461538,2019-12-16 08:58:16.415,721.5,365.21500000000003,1.0,383.694,,,,,,21.47,-
29,6.5,-13.11957894736842,-130.04709090909094,173.717,0.45454545454545453,951.4545454545455,2.0,0.5,,0.05,0.05,0.3333333333333333,0.16699999999999998,0.7142857142857143,-262.3,-304.0094736842104,15.5,2019-12-16 08:58:20.404,3073.5,379.245,4.25,248.3525,,,,,,21.459999999999997,-
30,6.5,-14.380949999999999,-127.0121,191.80000000000004,0.5,951.5714285714286,1.4,0.8,,0.04,0.05,0.6,0.12666666666666668,0.7142857142857143,-97.54545454545455,-303.99473684210517,21.583333333333332,2019-12-16 08:58:24.427,4426.5,392.16499999999996,6.0,389.108,,,,,,21.465,-
31,6.5,-4.261111111111109,-303.26219999999995,155.87949999999998,0.5454545454545454,951.4444444444445,2.0,1.0,27.18,0.05,0.1,0.5,0.11874999999999998,0.7142857142857143,-116.5,-304.0226315789473,22.76923076923077,2019-12-16 08:58:28.418,3966.5,404.845,1.0,36.5425,,,,,,21.467142857142854,-
32,6.5,-13.848333333333333,-34.37071428571426,191.9585,0.46153846153846156,951.5,1.0,0.5,27.195,0.08888888888888889,0.04,,0.1636363636363636,0.5,50.333333333333336,-304.0631578947368,20.75,2019-12-16 08:58:32.420,1742.5,418.26,6.25,36.5425,,,,,,21.465,-
33,6.5,-9.587388888888889,319.607,174.03900000000004,0.5454545454545454,951.5555555555555,1.6,1.0,27.195,0.1,,,0.18333333333333332,0.3333333333333333,209.28571428571428,-304.0831578947368,16.636363636363637,2019-12-16 08:58:36.418,129.5,432.84000000000003,21.0,,74.2,,,,,21.459999999999997,-
34,,-17.156368421052633,621.7502727272727,174.80666666666667,0.5,951.5,2.0,1.0,,0.05,,0.5,0.1411111111111111,1.0,44.1,-304.05421052631584,15.076923076923077,2019-12-16 08:58:40.419,373.5,455.28999999999996,5.0,-210.231,,,,,,21.47,-
